"nivel" "sexo" "frec"
"1" "Sin estudios" "Hombre" 79309
"2" "Sin estudios" "Mujer" 108051
"3" "Elementales" "Hombre" 107156
"4" "Elementales" "Mujer" 109591
"5" "Medios" "Hombre" 183488
"6" "Medios" "Mujer" 174961
"7" "Superiores" "Hombre" 70594
"8" "Superiores" "Mujer" 64858
