"velocidad" "parque"
"214" 2.56 "Parque1"
"215" 2.74 "Parque1"
"216" 2.33 "Parque1"
"217" 2.41 "Parque1"
"218" 2.16 "Parque1"
"219" 2.15 "Parque1"
"220" 2.1 "Parque1"
"221" 2.03 "Parque1"
"222" 2.27 "Parque1"
"223" 1.93 "Parque1"
"224" 2.49 "Parque1"
"225" 2.33 "Parque1"
"226" 1.48 "Parque1"
"227" 1.37 "Parque1"
"228" 1.91 "Parque1"
"229" 1.34 "Parque1"
"230" 1.34 "Parque1"
"231" 0.85 "Parque1"
"232" 0.51 "Parque1"
"233" 2.23 "Parque1"
"234" 2.24 "Parque1"
"235" 2.02 "Parque1"
"236" 1.76 "Parque1"
"237" 3.1 "Parque1"
"238" 1.91 "Parque1"
"239" 1.91 "Parque1"
"240" 2.9 "Parque1"
"241" 4.93 "Parque1"
"242" 5.3 "Parque1"
"243" 6.21 "Parque1"
"244" 6.25 "Parque1"
"245" 6.15 "Parque1"
"246" 5.97 "Parque1"
"247" 5.67 "Parque1"
"248" 5.06 "Parque1"
"249" 4.9 "Parque1"
"250" 3.61 "Parque1"
"251" 3.46 "Parque1"
"252" 4.37 "Parque1"
"253" 4.34 "Parque1"
"254" 4.46 "Parque1"
"255" 4.39 "Parque1"
"256" 5.14 "Parque1"
"257" 6.25 "Parque1"
"258" 6.28 "Parque1"
"259" 5.79 "Parque1"
"260" 5.39 "Parque1"
"261" 4.61 "Parque1"
"262" 3.53 "Parque1"
"263" 4.22 "Parque1"
"264" 5.45 "Parque1"
"265" 5.35 "Parque1"
"266" 6.37 "Parque1"
"267" 6.75 "Parque1"
"268" 6.16 "Parque1"
"269" 5.31 "Parque1"
"270" 5.13 "Parque1"
"271" 6.05 "Parque1"
"272" 5.61 "Parque1"
"273" 2.58 "Parque1"
"274" 2.7 "Parque1"
"275" 2.07 "Parque1"
"276" 2.96 "Parque1"
"277" 3.02 "Parque1"
"278" 3.66 "Parque1"
"279" 3.35 "Parque1"
"280" 4.12 "Parque1"
"281" 4.89 "Parque1"
"282" 3.77 "Parque1"
"283" 6.15 "Parque1"
"284" 7.65 "Parque1"
"285" 6.6 "Parque1"
"286" 7.59 "Parque1"
"287" 6.93 "Parque1"
"288" 8.74 "Parque1"
"289" 8.12 "Parque1"
"290" 9.23 "Parque1"
"291" 11.72 "Parque1"
"292" 10.62 "Parque1"
"293" 10.06 "Parque1"
"294" 10.96 "Parque1"
