Parque1                 Parque2                         
3,35             	3,56             
4,12             	3,49             
4,89             	4,55             
3,77             	4,21             
6,15             	4,74             
7,65             	6,29             
6,60             	6,78             
7,59             	6,76             
6,93             	5,79             
8,74             	7,18             
8,12             	7,81             
9,23             	9,37             
11,72            	9,74             
10,62            	9,55             
10,06            	10,07            
10,96            	10,90            
11,17            	10,93            
11,24            	11,50            
11,98            	11,06            
10,38            	9,66             
10,06            	10,63            
11,39            	11,67            
9,84             	10,35            
8,19             	8,79             
8,68             	8,12             
9,36             	10,31            
10,51            	9,37             
6,84             	5,51             
3,03             	4,00             
6,11             	1,72             
6,63             	3,56             
3,25             	3,97             
3,94             	4,53             
6,47             	3,50             
4,85             	4,07             
3,52             	4,80             
5,34             	5,20             
7,62             	5,73             
8,02             	7,29             
9,08             	7,17             
9,26             	6,77             
9,63             	6,82             
8,56             	6,07             
8,52             	6,37             
7,28             	5,45             
7,00             	5,30             
10,45            	7,63             
10,43            	7,37             
10,37            	7,83             
9,75             	8,29             
8,86             	8,23             
9,34             	8,99             
9,10             	9,74             
6,66             	6,61             
7,09             	7,16             
6,36             	5,78             
4,91             	1,39             
1,94             	2,39             
1,44             	2,91             
1,26             	2,37             
3,06             	1,13             
4,36             	2,28             
2,47             	2,09             
3,64             	1,37             
5,17             	2,35             
5,52             	2,03             
4,89             	2,24             
6,58             	4,91             
6,39             	4,20             
7,75             	5,58             
9,35             	8,01             
8,76             	7,86             
9,55             	7,08             
8,24             	6,51             
10,58            	8,10             
11,18            	11,64            
10,75            	10,49            
7,77             	7,29             
6,25             	5,88             
5,24             	7,13             
6,39             	6,15             
8,49             	6,18             
6,77             	6,55             
4,82             	5,32             
6,19             	5,96             
7,42             	7,60             
8,92             	10,01            
9,81             	10,57            
9,44             	10,09            
10,41            	10,35            
9,82             	8,91             
8,61             	9,93             
9,13             	7,75             
7,32             	6,66             
7,09             	5,88             
6,56             	5,87             
4,98             	5,42             
4,15             	4,64             
5,18             	4,85             
6,76             	6,58             
6,29             	8,05             
5,61             	8,01             
6,30             	4,72             
3,48             	3,28             
4,26             	3,00             
3,16             	2,68             
6,28             	6,09             
6,69             	6,18             
7,76             	6,58             
7,65             	6,86             
7,94             	7,24             
8,55             	7,63             
7,96             	7,53             
8,22             	7,35             
7,05             	6,10             
4,40             	4,91             
2,63             	1,98             
3,47             	2,31             
3,47             	3,45             
4,16             	3,77             
4,92             	4,11             
5,15             	3,97             
6,23             	5,08             
4,76             	5,02             
5,52             	5,92             
6,63             	7,55             
3,91             	5,25             
1,52             	2,57             
0,49             	1,09             
0,80             	0,79             
0,72             	1,06             
0,27             	0,77             
0,31             	0,48             
1,56             	0,14             
2,02             	0,68             
2,82             	0,98             
3,12             	2,24             
2,56             	2,05             
2,82             	3,21             
2,16             	2,76             
2,58             	3,06             
3,49             	3,05             
3,63             	3,28             
3,46             	3,38             
3,12             	3,06             
3,25             	3,42             
2,79             	3,75             
4,43             	3,83             
4,96             	4,41             
5,34             	4,90             
6,35             	5,82             
4,94             	4,48             
4,62             	3,62             
3,71             	3,21             
5,60             	4,36             
5,98             	6,47             
6,93             	6,80             
5,90             	5,94             
6,42             	6,47             
7,08             	6,45             
6,15             	5,79             
5,27             	5,65             
5,26             	4,92             
3,60             	4,64             
4,14             	4,68             
6,02             	4,31             
5,38             	4,63             
4,52             	3,82             
4,39             	3,47             
2,70             	1,65             
4,43             	2,35             
1,26             	3,23             
3,19             	2,92             
1,38             	2,45             
1,29             	1,80             
0,80             	2,06             
1,18             	1,98             
1,42             	2,11             
0,99             	0,94             
1,03             	0,99             
3,16             	2,34             
2,15             	1,29             
4,09             	1,84             
5,85             	2,21             
5,36             	4,56             
4,56             	2,83             
5,85             	4,05             
5,31             	3,90             
3,90             	4,01             
4,10             	4,06             
5,98             	4,46             
7,16             	5,61             
7,66             	6,04             
8,82             	7,44             
10,28            	8,22             
10,65            	9,24             
9,60             	9,06             
9,54             	9,93             
11,11            	10,63            
9,55             	8,82             
9,01             	8,60             
9,37             	9,49             
9,98             	9,35             
9,78             	8,58             
9,04             	8,71             
9,40             	9,02             
9,78             	8,18             
9,36             	8,55             
9,86             	8,58             
10,08            	9,17             
10,25            	8,64             
7,70             	6,75             
4,85             	3,35             
4,84             	4,66             
6,09             	4,47             
5,65             	5,36             
4,65             	4,27             
4,06             	3,72             
2,48             	4,63             
2,44             	5,14             
3,01             	5,75             
2,61             	4,84             
4,40             	5,81             
3,00             	4,99             
5,00             	6,65             
5,87             	8,18             
6,04             	8,06             
9,07             	9,90             
10,55            	9,82             
10,97            	11,04            
11,91            	12,96            
11,28            	10,91            
13,39            	13,41            
13,27            	14,12            
11,60            	11,85            
8,83             	8,27             
7,27             	5,49             
8,51             	6,66             
6,34             	5,06             
6,30             	4,55             
5,82             	6,08             
7,36             	5,71             
6,54             	6,28             
6,90             	7,24             
8,21             	7,04             
8,15             	7,64             
9,57             	7,96             
6,90             	7,57             
5,72             	6,05             
7,47             	7,52             
7,48             	8,13             
6,85             	8,90             
6,31             	7,92             
7,50             	7,66             
6,84             	6,68             
5,78             	6,64             
5,66             	5,77             
4,94             	5,61             
2,33             	4,11             
1,94             	2,00             
2,00             	2,40             
1,51             	1,64             
1,54             	1,67             
1,01             	2,11             
1,22             	2,84             
1,91             	2,58             
2,82             	4,33             
3,33             	6,69             
5,63             	8,16             
4,77             	7,54             
6,79             	8,63             
7,41             	9,91             
13,23            	13,74            
12,23            	13,63            
12,55            	15,09            
11,65            	15,13            
13,15            	15,40            
14,99            	17,82            
16,20            	17,10            
16,28            	16,45            
14,66            	14,90            
13,67            	14,88            
14,72            	15,93            
14,61            	16,00            
16,16            	15,67            
15,74            	15,77            
14,19            	15,31            
12,93            	13,98            
12,91            	13,28            
14,01            	13,99            
14,91            	13,56            
14,06            	13,65            
12,51            	13,50            
11,44            	11,94            
9,98             	11,17            
9,87             	10,49            
8,66             	8,98             
9,44             	8,91             
9,68             	9,25             
10,67            	11,46            
10,53            	11,65            
10,99            	11,87            
11,13            	11,68            
11,17            	12,40            
10,38            	10,50            
5,98             	4,64             
5,25             	5,71             
3,37             	3,88             
4,37             	4,01             
6,22             	5,42             
7,97             	6,88             
7,49             	8,44             
8,44             	8,95             
9,47             	7,39             
10,12            	8,66             
10,07            	9,91             
9,96             	10,32            
8,94             	11,35            
10,29            	9,92             
10,60            	9,76             
8,87             	9,78             
10,87            	9,51             
9,65             	9,31             
11,37            	11,12            
11,25            	11,83            
10,23            	10,11            
8,94             	8,34             
7,86             	6,05             
7,09             	4,61             
7,73             	5,05             
4,49             	4,30             
8,17             	5,69             
7,28             	4,96             
7,29             	5,56             
8,46             	6,66             
7,83             	6,97             
7,41             	7,82             
7,98             	8,03             
7,35             	7,93             
9,36             	9,55             
9,52             	10,21            
8,49             	10,13            
10,72            	10,95            
11,26            	10,09            
10,27            	10,13            
11,36            	10,28            
12,07            	11,59            
11,98            	13,07            
11,41            	13,21            
13,30            	12,71            
12,81            	13,88            
12,95            	13,04            
12,49            	13,21            
12,73            	12,95            
12,27            	12,57            
12,45            	13,11            
12,56            	12,18            
9,70             	10,53            
9,60             	9,88             
9,27             	10,71            
8,26             	7,95             
7,91             	7,63             
12,48            	11,66            
10,67            	9,71             
10,46            	10,17            
7,18             	6,33             
5,78             	3,65             
3,74             	2,06             
3,63             	1,11             
1,99             	2,12             
2,95             	2,25             
4,45             	2,28             
5,81             	2,02             
4,52             	1,73             
2,18             	0,68             
5,00             	2,07             
7,99             	6,91             
6,64             	5,05             
7,08             	5,63             
6,90             	5,62             
5,84             	6,29             
4,87             	4,23             
4,02             	4,22             
6,12             	5,04             
3,65             	2,79             
3,10             	1,08             
1,37             	1,44             
1,75             	3,49             
2,08             	4,98             
3,73             	4,21             
3,04             	3,47             
2,71             	2,89             
3,31             	3,81             
5,64             	5,10             
6,36             	5,66             
5,92             	5,77             
6,13             	5,80             
7,40             	6,96             
6,82             	7,24             
6,62             	6,83             
7,04             	7,02             
4,87             	6,24             
2,76             	5,81             
2,39             	4,33             
2,04             	3,32             
1,13             	1,24             
0,87             	1,33             
0,99             	1,43             
1,56             	1,83             
1,24             	1,09             
0,81             	1,40             
1,50             	1,54             
2,54             	1,83             
3,95             	2,67             
4,13             	4,60             
4,08             	5,40             
3,93             	5,04             
3,47             	5,06             
2,73             	3,37             
2,76             	2,06             
3,15             	3,08             
2,27             	3,89             
2,09             	3,24             
1,93             	4,02             
3,50             	3,78             
4,53             	5,99             
3,86             	5,98             
3,58             	6,41             
3,77             	5,18             
3,92             	5,49             
3,47             	4,20             
3,38             	3,14             
2,95             	2,86             
3,47             	3,85             
3,50             	5,11             
3,24             	5,96             
2,56             	5,71             
4,10             	4,38             
4,61             	5,81             
5,28             	5,55             
3,79             	5,85             
4,81             	6,84             
3,60             	5,14             
3,84             	5,29             
3,65             	5,25             
4,00             	5,37             
3,64             	4,92             
6,11             	6,10             
6,80             	7,15             
7,33             	8,03             
6,55             	8,42             
8,44             	9,23             
